Age,Num,P
0,8895,0.01928334
1,8793,0.019062216
2,8533,0.018498566
3,8405,0.018221077
4,8182,0.017737638
5,8142,0.017650923
6,8116,0.017594558
7,8038,0.017425463
8,8007,0.017358258
9,8078,0.017512178
10,8007,0.017358258
11,7986,0.017312733
12,8028,0.017403784
13,7978,0.01729539
14,7928,0.017186995
15,7850,0.0170179
16,7734,0.016766426
17,7777,0.016859645
18,7701,0.016694885
19,7675,0.01663852
20,7612,0.016501944
21,7520,0.016302498
22,7558,0.016384878
23,7429,0.01610522
24,7392,0.016025009
25,7222,0.015656468
26,7271,0.015762695
27,7205,0.015619614
28,7109,0.015411497
29,6969,0.015107993
30,6866,0.014884701
31,6854,0.014858686
32,6779,0.014696095
33,6631,0.014375248
34,6563,0.014227832
35,6561,0.014223496
36,6420,0.013917824
37,6277,0.013607817
38,6301,0.013659846
39,6220,0.013484247
40,6170,0.013375853
41,6041,0.013096196
42,5907,0.012805699
43,5883,0.01275367
44,5838,0.012656115
45,5651,0.01225072
46,5591,0.012120647
47,5564,0.012062114
48,5481,0.01188218
49,5322,0.011537486
50,5229,0.011335873
51,5096,0.011047544
52,4996,0.010830755
53,4888,0.010596624
54,4848,0.010509908
55,4693,0.010173886
56,4584,0.009937587
57,4513,0.009783667
58,4412,0.00956471
59,4295,0.009311068
60,4141,0.008977213
61,4037,0.008751753
62,3924,0.008506782
63,3643,0.007897606
64,3489,0.007563752
65,3375,0.007316613
66,3202,0.006941569
67,3097,0.006713941
68,2970,0.00643862
69,2698,0.005848955
70,2533,0.005491254
71,2251,0.00487991
72,2106,0.004565567
73,1980,0.004292413
74,1786,0.003871843
75,1608,0.00348596
76,1442,0.003126091
77,1310,0.00283993
78,1114,0.002415024
79,929,0.002013966
80,813,0.001762491
81,669,0.001450315
82,586,0.001270381
83,447,0.000969045
84,342,0.000741417
85,234,0.000507285
86,216,0.000468263
87,172,0.000372876
88,131,0.000283993
89,98,0.000212453
90,76,0.000164759
91,60,0.000130073
92,41,8.88833E-05
93,26,5.6365E-05
94,18,3.90219E-05
95,20,4.33577E-05
96,20,4.33577E-05
97,13,2.81825E-05
98,13,2.81825E-05
99,7,1.51752E-05
100,4,8.67154E-06
101,5,1.08394E-05
102,1,2.16789E-06
103,2,4.33577E-06
104,4,8.67154E-06
105,1,2.16789E-06
106,2,4.33577E-06
107,3,6.50366E-06
108,1,2.16789E-06
109,2,4.33577E-06
110,2,4.33577E-06
111,0,0
112,0,0
113,1,2.16789E-06
